time,custom_id,x,y,z
0.00,1003,1996.15,25.00,2431.66
0.00,1001,2008.43,25.00,2557.42
0.05,1003,1996.12,25.00,2432.35
0.05,1001,2008.35,25.00,2557.42
0.15,1003,1996.08,25.00,2433.74
0.15,1001,2008.17,25.00,2557.42
0.18,1003,1996.06,25.00,2434.19
0.18,1001,2008.12,25.00,2557.42
0.22,1003,1996.04,25.00,2434.72
0.22,1001,2008.05,25.00,2557.42
0.25,1003,1996.03,25.00,2435.19
0.25,1001,2007.99,25.00,2557.42
0.29,1003,1996.01,25.00,2435.65
0.29,1001,2007.94,25.00,2557.42
0.32,1003,1996.00,25.00,2436.11
0.32,1001,2007.88,25.00,2557.42
0.35,1003,1995.98,25.00,2436.58
0.35,1001,2007.82,25.00,2557.42
0.39,1003,1995.97,25.00,2437.04
0.39,1001,2007.76,25.00,2557.42
0.42,1003,1995.95,25.00,2437.51
0.42,1001,2007.71,25.00,2557.42
0.46,1003,1995.94,25.00,2438.00
0.46,1001,2007.64,25.00,2557.42
0.49,1003,1995.92,25.00,2438.43
0.49,1001,2007.59,25.00,2557.42
0.52,1003,1995.91,25.00,2438.86
0.52,1001,2007.54,25.00,2557.42
0.55,1003,1995.89,25.00,2439.33
0.55,1001,2007.48,25.00,2557.42
0.59,1003,1995.88,25.00,2439.79
0.59,1001,2007.42,25.00,2557.42
0.62,1003,1995.86,25.00,2440.25
0.62,1001,2007.37,25.00,2557.42
0.65,1003,1995.85,25.00,2440.64
0.65,1001,2007.32,25.00,2557.42
0.68,1003,1995.84,25.00,2441.03
0.68,1001,2007.27,25.00,2557.42
0.71,1003,1995.82,25.00,2441.50
0.71,1001,2007.21,25.00,2557.42
0.74,1003,1995.81,25.00,2441.90
0.74,1001,2007.16,25.00,2557.42
0.77,1003,1995.79,25.00,2442.29
0.77,1001,2007.11,25.00,2557.42
0.79,1003,1995.78,25.00,2442.66
0.79,1001,2007.07,25.00,2557.42
0.82,1003,1995.77,25.00,2443.05
0.82,1001,2007.02,25.00,2557.42
0.85,1003,1995.76,25.00,2443.42
0.85,1001,2006.97,25.00,2557.42
0.87,1003,1995.74,25.00,2443.79
0.87,1001,2006.93,25.00,2557.42
0.90,1003,1995.73,25.00,2444.19
0.90,1001,2006.88,25.00,2557.42
0.93,1003,1995.72,25.00,2444.60
0.93,1001,2006.83,25.00,2557.42
0.96,1003,1995.70,25.00,2445.02
0.96,1001,2006.77,25.00,2557.42
0.99,1003,1995.69,25.00,2445.41
0.99,1001,2006.73,25.00,2557.42
1.02,1003,1995.67,25.00,2445.86
1.02,1001,2006.67,25.00,2557.42
1.05,1003,1995.66,25.00,2446.23
1.05,1001,2006.62,25.00,2557.42
1.08,1003,1995.65,25.00,2446.61
1.08,1001,2006.58,25.00,2557.41
1.10,1003,1995.64,25.00,2446.97
1.10,1001,2006.53,25.00,2557.41
1.13,1003,1995.63,25.00,2447.35
1.13,1001,2006.49,25.00,2557.41
1.16,1003,1995.61,25.00,2447.73
1.16,1001,2006.44,25.00,2557.41
1.19,1003,1995.60,25.00,2448.12
1.19,1001,2006.39,25.00,2557.41
1.21,1003,1995.59,25.00,2448.49
1.21,1001,2006.34,25.00,2557.41
1.24,1003,1995.57,25.00,2448.88
1.24,1001,2006.30,25.00,2557.41
